id;B_COST_RND;B_C_TIME_RND;B_D_TIME_RND;B_R_TIME_RND;B_UNHLTH_RND;B_HLTH_RND;B_LORG_RND;B_SERV_RND
1;-0.341689179532627;-0.0336384054341607;-0.0350215266265664;-0.0212716268587637;-2.02904540283877;0.644700432391169;1.25549763247072;0.974371239571146
2;-0.217207066967495;-0.0310766587440463;-0.0338052158131319;-0.0212716268587637;-2.56107643325229;0.825804582070207;1.25549763247072;0.764242301204914
3;-0.255431879402427;0.00306238588524587;-0.0542887901830477;-0.0212716268587638;-1.64947965633243;0.947596211207117;1.25549763247072;1.6101277970517
4;-0.151969099668423;-0.0160304655331521;-0.0224486818481207;-0.0212716268587638;-2.14552582685924;1.08366699023717;0.483637158068754;0.980685148424243
5;-0.279696445527529;-0.0423122159156126;-0.0388158658706608;-0.0212716268587638;-2.15627588522585;0.742004507352623;0.483637158068753;1.27912370632101
6;-0.144105902514521;-0.0564675468554639;-0.0357332057142634;-0.0212716268587637;-2.39802020789639;1.29545088376465;1.25549763247072;0.556434426713641
7;-0.271064641342752;0.0253356128947921;-0.0516634351560374;-0.0212716268587637;-0.907886987460291;0.54896222527737;0.483637158068754;0.570708453242405
8;-0.235160945660464;-0.0182482836179159;-0.0454472527460884;-0.0212716268587638;-1.78961743842905;0.694767619300612;0.483637158068753;1.61389804562222
9;-0.33250956488651;-0.0501673385960622;-0.0450874542662057;-0.0212716268587638;-1.84392823871445;0.552695614006558;0.483637158068754;1.09111971090091
10;-0.217186933705908;0.0305226776340181;-0.0410287455616738;-0.0212716268587637;-1.82228240424744;0.651160850277497;1.25549763247072;1.37389888469357
11;-0.357551525138584;-0.0261913798235747;-0.0449141190262472;-0.0212716268587637;-1.5896083562749;0.519623203787437;1.25549763247072;1.15275137790098
12;-0.372137465920714;-0.0481649261437071;-0.0263573768230081;-0.0212716268587637;-0.590493385784277;0.356283924092709;0.483637158068753;1.11660472378498
13;-0.0680930710766768;-0.0537127537998263;-0.0553641949526375;-0.0212716268587637;-1.24230363125046;0.605089583120083;1.25549763247072;0.995973497429971
14;-0.209482033638558;-0.0164639626206271;-0.0556944692527733;-0.0212716268587638;-2.16662428864752;0.889441959206512;1.25549763247072;2.00248751158079
15;-0.161371118012993;-0.0333742292354638;-0.0439629420167495;-0.0212716268587638;-1.55023874095063;0.715962241604694;0.483637158068755;1.85401444966003
16;-0.0337366638198133;-0.0809008516565258;-0.0453286675658642;-0.0212716268587637;-0.744780142827624;0.612282843837518;0.483637158068754;1.44369678535557
17;-0.126517519849638;-0.0574805989815283;-0.0537510683535976;-0.0212716268587638;-0.792282646584863;0.861777074973985;0.483637158068753;0.673269001282837
18;-0.118097392204463;-0.0129872515207689;-0.0459228081780461;-0.0212716268587637;-1.64984849649324;0.323240224537983;0.483637158068753;0.780141549001771
19;-0.200073598145333;-0.0320513151314622;-0.0377971685357281;-0.0212716268587638;-2.13994510417303;0.633821643897533;0.483637158068754;1.56325847224787
20;-0.33086420051719;-0.0138625410984753;-0.028990483084404;-0.0212716268587637;-1.70236378973126;0.614274865654741;0.483637158068753;1.43366377077802
21;-0.195364904322112;-0.0433130490890845;-0.0244507954087952;-0.0212716268587638;-2.55048522950212;0.435866340195381;1.25549763247072;1.29301677325821
22;-0.319365709134249;-0.0832403632786285;-0.0193922632514556;-0.0212716268587637;-0.243899187867212;0.770888547202675;0.483637158068753;1.46893875767559
