ID;loglike
0;-1.79525591046824
1;-4.51052927912808
2;-4.77042077331186
3;-4.7203513099588
4;-3.28831406175301
5;-5.87295852631781
6;-7.66995779133292
7;-3.97834623628747
8;-3.65771474340218
9;-6.61464957212454
10;-4.3497403593922
11;-6.02298845977497
12;-8.68821702005183
13;-4.44771664908921
14;-6.62971366417584
15;-13.9251608343723
16;-5.53096337409216
17;-6.55874349485068
18;-3.67981730827764
19;-4.13604431358486
20;-5.31242293896225
21;-9.95600481680206
22;-6.67052232468015
23;-6.39143564854386
24;-5.3239790235773
25;-10.7599360122504
26;-3.83473792651006
27;-4.72524494773378
28;-4.08373410249838
29;-7.11369042288287
30;-5.06261682746829
31;-4.83242452463665
32;-6.89806069807755
33;-4.47624877174545
34;-4.34136297604375
35;-6.9658875816442
36;-4.59675838314546
37;-1.79525591046824
38;-4.12708515620392
39;-2.94786312682724
40;-1.79525591046824
41;-6.56397821390491
42;-5.16233158725863
43;-6.62387178607893
44;-6.80928411897885
45;-6.64432001008113
46;-2.94786312682724
47;-4.64266936311855
48;-8.52162199617555
49;-6.84955280026477
50;-7.22443647243314
51;-5.70946441305514
52;-11.7386359576483
53;-1.79525591046824
54;-2.94786312682724
55;-15.169634992898
56;-6.64432001008113
57;-6.02298845977497
58;-3.4936327242119
59;-13.6499486457024
60;-6.59383359141171
61;-5.53096337409216
62;-5.55929293647212
63;-2.94786312682724
64;-2.94786312682724
65;-3.15768515765796
66;-3.60902474452011
67;-3.65771474340218
68;-8.59964317572919
69;-1.79525591046824
70;-4.96607987491283
71;-6.92091259448344
72;-3.28831406175301
73;-3.23600385066654
74;-1.79525591046824
75;-3.4936327242119
76;-2.00507794129895
77;-3.4936327242119
78;-6.89806069807755
79;-6.49651716884246
80;-2.00507794129895
81;-4.36732677133463
82;-5.16233158725863
83;-1.79525591046824
84;-5.36703852128378
85;-5.88199706069477
86;-4.7203513099588
87;-4.34136297604375
88;-6.59595212410839
89;-4.81911077219394
90;-6.50002913732137
91;-7.15132476391256
92;-4.36732677133463
93;-4.64266936311855
94;-7.40247650613055
95;-1.79525591046824
96;-11.1716881186994
97;-3.7949391112867
98;-5.51229549869602
99;-6.20903325025618
100;-3.15768515765796
101;-5.70946441305514
102;-4.72060103190302
103;-5.38897777970738
104;-5.3239790235773
105;-2.98700767467821
106;-4.59675838314546
107;-7.66995779133292
108;-4.77755515882025
109;-2.00507794129895
110;-2.98700767467821
111;-8.40160733039131
112;-6.02298845977497
113;-6.67739319736288
114;-3.06794815861851
115;-6.84955280026477
116;-3.29644695195666
117;-6.02298845977497
118;-4.72524494773378
119;-2.98700767467821
120;-4.30105036051013
121;-3.50626898278738
122;-2.98700767467821
123;-3.27777018944923
124;-8.76514139329612
125;-7.47078101422211
126;-10.335169551772
127;-8.52162199617555
128;-3.74262890020023
129;-7.08081083058717
130;-2.94786312682724
131;-3.65771474340218
132;-8.53520648138498
133;-5.88245108531348
134;-11.0565291766354
135;-2.94786312682724
136;-7.2436167187061
137;-4.77042077331186
138;-6.38878521459715
139;-7.2436167187061
140;-3.29644695195666
141;-3.88963933910836
142;-4.77896123093765
143;-4.59324641466655
144;-3.27777018944923
145;-6.66449930501036
146;-2.98700767467821
147;-2.00507794129895
148;-9.69406666854215
149;-6.84955280026477
150;-7.09324219888067
151;-6.23302690535215
152;-7.66995779133292
153;-5.43193831923565
154;-6.64432001008113
155;-6.55159110271608
156;-1.79525591046824
157;-2.98700767467821
158;-5.51636341024128
159;-3.4936327242119
160;-6.39967740214719
161;-5.04224655546737
162;-5.70946441305514
163;-6.45370059791634
164;-3.28831406175301
165;-9.61586526256639
166;-2.94786312682724
167;-6.50002913732137
168;-5.87295852631781
169;-4.82050622179511
170;-6.95329429622204
171;-11.3179683455323
172;-3.28831406175301
173;-3.23600385066654
174;-6.43834556781104
175;-4.07839515732185
176;-4.54806838426339
177;-4.44905416831567
178;-5.36703852128378
179;-8.03418144297233
180;-4.49640664797128
181;-6.02298845977497
182;-5.28527203065657
183;-5.5609854975781
184;-4.77042077331186
185;-6.49651716884246
186;-1.79525591046824
187;-6.1603432513741
188;-2.98700767467821
189;-5.57297519956563
190;-5.65613270316739
191;-2.98700767467821
192;-3.29644695195666
193;-6.73965195488584
194;-5.88199706069477
195;-2.00507794129895
196;-6.77524342975318
197;-6.03035591037983
198;-4.98287382127914
199;-3.29644695195666
200;-7.48712277398045
201;-2.98700767467821
202;-2.94786312682724
203;-4.36732677133463
204;-6.85358099765376
205;-3.4936327242119
206;-4.51052927912808
207;-5.3271312713288
208;-8.59780282752751
209;-7.66995779133292
210;-3.27777018944923
211;-4.02703623516955
212;-6.29286556208794
213;-4.96607987491283
214;-3.15768515765796
215;-11.6008053702265
216;-11.8803123796092
217;-4.72060103190302
218;-4.77042077331186
219;-7.61744730280119
220;-1.79525591046824
221;-3.27777018944923
222;-14.8385927482382
223;-4.83242452463665
224;-5.39083038059678
225;-4.13604431358486
226;-3.60902474452011
227;-3.28831406175301
228;-4.34136297604375
229;-3.15768515765796
230;-3.4936327242119
231;-4.96256790643392
232;-4.3497403593922
233;-3.88963933910836
234;-8.17914838997046
235;-9.01696117705878
236;-4.61632294732295
237;-4.07839515732185
238;-1.79525591046824
239;-10.389637804983
240;-7.55018124338891
