ID;loglike
0;-1.99377165108551
1;-4.50228684864054
2;-4.08214036039532
3;-5.18700603420206
4;-3.72239836551045
5;-5.69142191702784
6;-6.81950023314381
7;-4.0727110616102
8;-3.59613372292152
9;-6.15482361016624
10;-3.84449869573161
11;-5.24423172542412
12;-7.87230878563479
13;-4.09017708332816
14;-7.83091279711048
15;-14.1602956186358
16;-5.00983392062141
17;-7.40700656215977
18;-3.41760141986165
19;-3.84495475768196
20;-5.42569064313077
21;-9.22444161499795
22;-6.13925410290876
23;-6.99185912491507
24;-4.80475406222262
25;-10.9537867340428
26;-4.02832305151766
27;-4.16760429547239
28;-3.62065547955021
29;-8.26843446412029
30;-5.18674807855179
31;-4.23729740580099
32;-7.65506309552152
33;-4.39239431749709
34;-4.59070811169502
35;-7.66723488615305
36;-4.15768976606651
37;-2.41709168041898
38;-4.23285296526927
39;-3.61122979457869
40;-1.1227449557585
41;-7.45260484271121
42;-5.09323853145836
43;-5.90828184165666
44;-7.11738278552472
45;-5.06137873519701
46;-2.90112874626442
47;-3.57985672318539
48;-8.33174116733235
49;-6.82248190392141
50;-7.31316986647861
51;-5.02615489615862
52;-13.3333872900566
53;-1.4404641757735
54;-2.69879574992855
55;-16.274963620185
56;-5.93392824109724
57;-5.25906739036584
58;-3.83690330050372
59;-12.1135333482757
60;-6.79690756677882
61;-5.23238045419462
62;-5.26237456885176
63;-3.01214568228325
64;-2.5326401840908
65;-3.04474963172067
66;-3.4124663370082
67;-3.38439377491568
68;-8.20489098920232
69;-1.11542430907779
70;-5.1932502429996
71;-7.00643946238535
72;-3.54666685567955
73;-3.57071401201247
74;-1.1195435630693
75;-3.96281444511604
76;-1.96324361822631
77;-3.40573211160738
78;-7.25358667179629
79;-6.1942695533346
80;-2.02941741876358
81;-4.31739556547088
82;-5.53056721391444
83;-2.63517811919185
84;-5.43778332646312
85;-5.62820173698037
86;-4.7570075828486
87;-3.71524720069949
88;-7.10344528781147
89;-5.03419412912579
90;-6.0341063059429
91;-6.53860107867974
92;-4.86760391468473
93;-3.58560212473458
94;-6.64496891512509
95;-1.53280246970538
96;-10.9257243004109
97;-5.3591103428844
98;-4.64783913414822
99;-6.04544848513487
100;-2.90243991976009
101;-5.60103793760568
102;-4.29588311228484
103;-6.08598848194043
104;-5.25290323571916
105;-3.52303296531885
106;-4.53340407177347
107;-7.65473367002554
108;-4.31173904870756
109;-2.42560896364556
110;-3.25650498171838
111;-8.23618064836438
112;-4.58926803711602
113;-7.00913688932067
114;-3.46538881538771
115;-6.88377472711948
116;-3.24959195027242
117;-5.25370459266232
118;-3.92710529610379
119;-2.9952724012234
120;-3.47029985285687
121;-3.85286870817954
