"";COOK;DEL;REST
"";;;
BUDGET;-0.08;0.16;0.06
cooking_cooking_time;-0.15;0.28;0.12
cooking_cost;-0.6;0.89;0.55
delivery_cost;0.31;-1.82;0.3
delivery_waiting_time_home;0.08;-0.54;0.1
restaurant_cost;0.41;0.71;-0.94
restaurant_travel_time;0.05;0.07;-0.11
